report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
2016-04-22,Argentina-Neuquen,province,cumulative_confirmed_local_cases,AR0001,NA,NA,0,cases
2016-04-22,Argentina-Neuquen,province,cumulative_probable_local_cases,AR0002,NA,NA,0,cases
2016-04-22,Argentina-Neuquen,province,cumulative_confirmed_imported_cases,AR0003,NA,NA,2,cases
2016-04-22,Argentina-Neuquen,province,cumulative_probable_imported_cases,AR0004,NA,NA,0,cases
2016-04-22,Argentina-Neuquen,province,cumulative_cases_under_study,AR0005,NA,NA,13,cases
2016-04-22,Argentina-Neuquen,province,cumulative_cases_discarded,AR0006,NA,NA,4,cases
2016-04-22,Argentina-Rio_Negro,province,cumulative_confirmed_local_cases,AR0001,NA,NA,0,cases
2016-04-22,Argentina-Rio_Negro,province,cumulative_probable_local_cases,AR0002,NA,NA,0,cases
2016-04-22,Argentina-Rio_Negro,province,cumulative_confirmed_imported_cases,AR0003,NA,NA,0,cases
2016-04-22,Argentina-Rio_Negro,province,cumulative_probable_imported_cases,AR0004,NA,NA,0,cases
2016-04-22,Argentina-Rio_Negro,province,cumulative_cases_under_study,AR0005,NA,NA,5,cases
2016-04-22,Argentina-Rio_Negro,province,cumulative_cases_discarded,AR0006,NA,NA,1,cases
2016-04-22,Argentina-Salta,province,cumulative_confirmed_local_cases,AR0001,NA,NA,90,cases
2016-04-22,Argentina-Salta,province,cumulative_probable_local_cases,AR0002,NA,NA,5,cases
2016-04-22,Argentina-Salta,province,cumulative_confirmed_imported_cases,AR0003,NA,NA,32,cases
2016-04-22,Argentina-Salta,province,cumulative_probable_imported_cases,AR0004,NA,NA,3,cases
2016-04-22,Argentina-Salta,province,cumulative_cases_under_study,AR0005,NA,NA,220,cases
2016-04-22,Argentina-Salta,province,cumulative_cases_discarded,AR0006,NA,NA,15,cases
2016-04-22,Argentina-San_Juan,province,cumulative_confirmed_local_cases,AR0001,NA,NA,0,cases
2016-04-22,Argentina-San_Juan,province,cumulative_probable_local_cases,AR0002,NA,NA,0,cases
2016-04-22,Argentina-San_Juan,province,cumulative_confirmed_imported_cases,AR0003,NA,NA,0,cases
2016-04-22,Argentina-San_Juan,province,cumulative_probable_imported_cases,AR0004,NA,NA,0,cases
2016-04-22,Argentina-San_Juan,province,cumulative_cases_under_study,AR0005,NA,NA,1,cases
2016-04-22,Argentina-San_Juan,province,cumulative_cases_discarded,AR0006,NA,NA,0,cases
2016-04-22,Argentina-San_Luis,province,cumulative_confirmed_local_cases,AR0001,NA,NA,0,cases
2016-04-22,Argentina-San_Luis,province,cumulative_probable_local_cases,AR0002,NA,NA,0,cases
2016-04-22,Argentina-San_Luis,province,cumulative_confirmed_imported_cases,AR0003,NA,NA,0,cases
2016-04-22,Argentina-San_Luis,province,cumulative_probable_imported_cases,AR0004,NA,NA,0,cases
2016-04-22,Argentina-San_Luis,province,cumulative_cases_under_study,AR0005,NA,NA,12,cases
2016-04-22,Argentina-San_Luis,province,cumulative_cases_discarded,AR0006,NA,NA,3,cases
2016-04-22,Argentina-Santa_Cruz,province,cumulative_confirmed_local_cases,AR0001,NA,NA,0,cases
2016-04-22,Argentina-Santa_Cruz,province,cumulative_probable_local_cases,AR0002,NA,NA,0,cases
2016-04-22,Argentina-Santa_Cruz,province,cumulative_confirmed_imported_cases,AR0003,NA,NA,0,cases
