report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
2017-05-28,Guatemala-Central,municipality,total_zika_suspected,GT0001,NA,NA,34.0,cases
2017-05-28,Guatemala-Chiquimula,municipality,total_zika_suspected,GT0001,NA,NA,5.0,cases
2017-05-28,Guatemala-Santa_Rosa,municipality,total_zika_suspected,GT0001,NA,NA,4.0,cases
2017-05-28,Guatemala-Escuintla,municipality,total_zika_suspected,GT0001,NA,NA,8.0,cases
2017-05-28,Guatemala-Izabal,municipality,total_zika_suspected,GT0001,NA,NA,4.0,cases
2017-05-28,Guatemala-Quetzaltenango,municipality,total_zika_suspected,GT0001,NA,NA,5.0,cases
2017-05-28,Guatemala-Sur,municipality,total_zika_suspected,GT0001,NA,NA,3.0,cases
2017-05-28,Guatemala-Quiche,municipality,total_zika_suspected,GT0001,NA,NA,2.0,cases
2017-05-28,Guatemala-Jutiapa,municipality,total_zika_suspected,GT0001,NA,NA,1.0,cases
2017-05-28,Guatemala-Alta_Verapaz,municipality,total_zika_suspected,GT0001,NA,NA,2.0,cases
2017-05-28,Guatemala-Huehuetenango,municipality,total_zika_suspected,GT0001,NA,NA,1.0,cases
2017-05-28,Guatemala-El_Progreso,municipality,total_zika_suspected,GT0001,NA,NA,,cases
2017-05-28,Guatemala-Nor_Occidente,municipality,total_zika_suspected,GT0001,NA,NA,,cases
2017-05-28,Guatemala-Jalapa,municipality,total_zika_suspected,GT0001,NA,NA,,cases
2017-05-28,Guatemala-Peten_Norte,municipality,total_zika_suspected,GT0001,NA,NA,,cases
2017-05-28,Guatemala-Peten_Sur_Oriental,municipality,total_zika_suspected,GT0001,NA,NA,,cases
2017-05-28,Guatemala-Retalhuleu,municipality,total_zika_suspected,GT0001,NA,NA,,cases
2017-05-28,Guatemala-Sacatepequez,municipality,total_zika_suspected,GT0001,NA,NA,,cases
2017-05-28,Guatemala-San_Marcos,municipality,total_zika_suspected,GT0001,NA,NA,,cases
2017-05-28,Guatemala-Suchitepequez,municipality,total_zika_suspected,GT0001,NA,NA,,cases
2017-05-28,Guatemala-Zacapa,municipality,total_zika_suspected,GT0001,NA,NA,,cases
2017-05-28,Guatemala,country,total_zika_suspected,GT0001,NA,NA,69.0,cases
